trimId,trim_name
t53908,Turbo
t56827,LT
t82347,xDrive35i
t69086,550i xDrive
t67481,2.4L
t83050,2.0T quattro Premium Plus Sedan
t45198,128i Convertible RWD
t87611,Value
t51595,2.0T quattro Premium Plus Sedan
t83851,SE
t56440,Double Cab V6
t88882,XSE
t68200,Preferred
t68354,SR5 V6 Double Cab
t49180,Summit
t72496,LTZ
t70250,GLC AMG 43 4MATIC
t41510,GLS
t70046,Trailhawk
t34467,Touring RWD
t44133,S
t69251,SV
t54229,SE with Sunroof and Nav 1.8
t59686,LX
t74995,SE 4Motion
t75510,1.5T Sport
t30171,ZX4 S
t82858,SE
t75973,JK Rubicon Recon
t83401,SV
t52392,535d xDrive Sedan
t68199,Preferred
t60464,EX
t43928,EX-L
t58163,LT
t57534,i Sport
t69235,320i xDrive Sedan
t31561,2.5 S
t73644,Grand Touring
t59128,i Sport
t68946,AWD
t38568,Limited V6
t90127,Select
t55394,Titanium
t66994,EX
t88373,Preferred Sedan
t76199,Touring
t65645,2.4L
t69508,570
t70134,Sport
t76564,S
t89577,Touring
t89615,Sport
t57465,LX V6
t75862,Touring
t73640,Touring
t76855,Grand Select
t55228,4.0T quattro
t42570,1LT Coupe RWD
t67141,XLT
t67172,ALL4
t68097,AWD
t73642,Sport
t69670,Premium
t76196,Grand Touring
t70241,Reserve
t58836,Convertible RWD
t41688,2.0i Premium Hatchback
t69413,V6 with Technology Package
t72684,SE Value Edition Sedan
t54708,XLT
t70133,Grand Touring
t32095,Limited
t67476,2.0T
t70034,Touring Sedan
t67617,FWD with AcuraWatch Plus Package
t83145,LT
t33553,AWD
t80226,Touring
t24531,2.5T
t56915,EX
t59129,i Sport Hatchback
t73110,SEL 4Motion
t58221,L 3.0T quattro
t69248,S
t83702,SV
t33837,Sport
t75410,Grand Touring Hatchback
t73142,Premium
t68116,2.5 SR
t66217,SE
t75283,SE
t89617,Touring
t75858,Grand Touring
t51592,640i Gran Coupe RWD
t43393,EX
t44013,Limited
t67726,Limited with Wing Spoiler
t75860,Sport
t80349,TRD Off Road Double Cab
t54600,Coupe RWD
t75413,Touring
t71335,EX
t90347,Sport
t59632,GLE AMG 63 4MATIC S Coupe
t90344,Sport
t59126,i Grand Touring
t23312,Convertible RWD
t49115,Sport
t88378,Select Sedan
t90124,AWD
t89573,Grand Touring
t1860,LS
t89576,Sport
t88379,Select Sedan
t34011,Grand Touring
t58231,3.0T quattro Premium Plus Cabriolet
t90126,Premium
t89611,Grand Touring
t89613,Grand Touring Reserve
t89669,Touring
t89665,Grand Touring
t89671,Signature
t47225,i Touring
t84284,EX
t70033,Sport Sedan
t80225,Sport
t88369,Premium Hatchback
t91041,RF Grand Touring RWD
t76841,2017.5 Grand Touring Sedan
t56489,S
t70032,Grand Touring Sedan
t84150,Grand Touring Reserve
t69070,4-Door with DCC and Navigation
t53812,1500 LT
t72923,3.0T quattro Premium Plus Sedan
t87380,FWD
t8066,Ralliart
t58192,1500 SLT
t58127,Luxury
t35291,Supercharged
t49254,2.5i
t35149,2SS Coupe RWD
t83313,FWD
t33552,Sedan
t40960,SE
t39489,2.0T Sport
t32180,3.3L Limited
t73210,Convertible RWD
t65967,3.0T quattro Premium
t77782,LT Fleet Sedan
t68624,2.5i
